what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1359354132415
started,bundle,org.eclipse.ui.views.log,1.0.100.v20110210_r362,"org.eclipse.ui.views.log",1359354132419
started,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1359354132422
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1359354132468
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1359354132536
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1359354132863
activated,perspective,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavaPerspective",1359354132913
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1359354132928
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1359354132951
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1359354133166
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1359354133218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1359354139558
error,log,,,"New Project Wizard failed",1359354147847
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1359354153341
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1359354153365
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1359354156364
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1359354192019
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1359354192030
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1359354200690
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1359354201463
